P,chunk_sizes,time
1.0,1.0,4.4295690059661865
2.0,1.0,3.457737922668457
3.0,1.0,4.142359972000122
4.0,1.0,4.0265820026397705
5.0,1.0,4.471975326538086
6.0,1.0,4.684570074081421
7.0,1.0,5.086107969284058
8.0,1.0,5.213831186294556
9.0,1.0,5.591459035873413
10.0,1.0,6.00975489616394
11.0,1.0,5.183588027954102
12.0,1.0,4.385385036468506
1.0,2.0,2.5693037509918213
2.0,2.0,1.8755500316619873
3.0,2.0,1.9858710765838623
4.0,2.0,2.139301061630249
5.0,2.0,2.4376518726348877
6.0,2.0,2.6427881717681885
7.0,2.0,3.0553600788116455
8.0,2.0,2.817781925201416
9.0,2.0,2.95898699760437
10.0,2.0,3.3603460788726807
11.0,2.0,3.501955986022949
12.0,2.0,3.702789783477783
1.0,3.0,2.658402919769287
2.0,3.0,1.9259381294250488
3.0,3.0,1.987443208694458
4.0,3.0,1.9607868194580078
5.0,3.0,2.255305767059326
6.0,3.0,2.3415448665618896
7.0,3.0,2.5381019115448
8.0,3.0,2.8791768550872803
9.0,3.0,3.461611032485962
10.0,3.0,5.246730089187622
11.0,3.0,3.2252910137176514
12.0,3.0,4.461834907531738
1.0,4.0,2.4273650646209717
2.0,4.0,1.9041249752044678
3.0,4.0,1.8642878532409668
4.0,4.0,1.8863282203674316
5.0,4.0,2.0562422275543213
6.0,4.0,2.2036590576171875
7.0,4.0,2.353986978530884
8.0,4.0,2.599396228790283
9.0,4.0,2.8409879207611084
10.0,4.0,3.1435601711273193
11.0,4.0,3.084287166595459
12.0,4.0,3.341060161590576
1.0,5.0,2.3503291606903076
2.0,5.0,1.9077317714691162
3.0,5.0,1.8856618404388428
4.0,5.0,1.8750338554382324
5.0,5.0,2.0557949542999268
6.0,5.0,2.1776609420776367
7.0,5.0,812.5325479507446
8.0,5.0,3.2652430534362793
9.0,5.0,3.1711020469665527
10.0,5.0,2.8381729125976562
11.0,5.0,2.961534261703491
12.0,5.0,3.176766872406006
1.0,6.0,2.4208738803863525
2.0,6.0,1.7708232402801514
3.0,6.0,1.672377109527588
4.0,6.0,1.7210869789123535
5.0,6.0,2.0734641551971436
6.0,6.0,2.0407819747924805
7.0,6.0,2.1929562091827393
8.0,6.0,2.4169061183929443
9.0,6.0,2.497048854827881
10.0,6.0,2.6936800479888916
11.0,6.0,2.9840269088745117
12.0,6.0,3.055083990097046
1.0,7.0,3.1879632472991943
2.0,7.0,1.9749398231506348
3.0,7.0,1.9995830059051514
4.0,7.0,1.8007328510284424
5.0,7.0,1.890916109085083
6.0,7.0,2.1239309310913086
7.0,7.0,2.2654800415039062
8.0,7.0,2.731624126434326
9.0,7.0,3.514759063720703
10.0,7.0,2.9366350173950195
11.0,7.0,2.9311046600341797
12.0,7.0,3.2042980194091797
1.0,8.0,2.3450510501861572
2.0,8.0,1.888416051864624
3.0,8.0,1.8775429725646973
4.0,8.0,1.8053340911865234
5.0,8.0,2.2037618160247803
6.0,8.0,2.1599559783935547
7.0,8.0,2.323747158050537
8.0,8.0,2.4534168243408203
9.0,8.0,2.6050150394439697
10.0,8.0,2.859041929244995
11.0,8.0,3.1593942642211914
12.0,8.0,3.3020808696746826
1.0,9.0,2.51460599899292
2.0,9.0,1.931696891784668
3.0,9.0,1.8118131160736084
4.0,9.0,1.8638670444488525
5.0,9.0,2.0089852809906006
6.0,9.0,2.202563762664795
7.0,9.0,2.309705972671509
8.0,9.0,2.479092836380005
9.0,9.0,2.697053909301758
10.0,9.0,2.9207119941711426
11.0,9.0,3.2637882232666016
12.0,9.0,3.2966067790985107
1.0,10.0,2.567965030670166
2.0,10.0,1.9147670269012451
3.0,10.0,1.8665668964385986
4.0,10.0,1.9075839519500732
5.0,10.0,2.089142084121704
6.0,10.0,2.2116000652313232
7.0,10.0,2.4647181034088135
8.0,10.0,2.4639949798583984
9.0,10.0,2.7644898891448975
10.0,10.0,2.911242961883545
11.0,10.0,3.09629487991333
12.0,10.0,3.2820441722869873
1.0,11.0,2.547740936279297
2.0,11.0,1.969365119934082
3.0,11.0,1.832711935043335
4.0,11.0,1.8925650119781494
5.0,11.0,2.0702381134033203
6.0,11.0,2.209530830383301
7.0,11.0,2.333305835723877
8.0,11.0,2.6179587841033936
9.0,11.0,2.789634943008423
10.0,11.0,2.9713633060455322
11.0,11.0,3.1558821201324463
12.0,11.0,3.479530096054077
1.0,12.0,2.5889341831207275
2.0,12.0,1.9920227527618408
3.0,12.0,1.8857548236846924
4.0,12.0,1.9361212253570557
5.0,12.0,2.1018691062927246
6.0,12.0,2.3683481216430664
7.0,12.0,2.3903470039367676
8.0,12.0,2.5291872024536133
9.0,12.0,2.805324077606201
10.0,12.0,2.948495864868164
11.0,12.0,3.235805034637451
12.0,12.0,3.4182498455047607
1.0,13.0,2.6524298191070557
2.0,13.0,2.008131980895996
3.0,13.0,1.8479609489440918
4.0,13.0,1.957986831665039
5.0,13.0,2.197760581970215
6.0,13.0,2.279621124267578
7.0,13.0,2.519333839416504
8.0,13.0,2.6107430458068848
9.0,13.0,2.901946783065796
10.0,13.0,3.0803158283233643
11.0,13.0,3.2578110694885254
12.0,13.0,3.394200086593628
1.0,14.0,2.646346092224121
2.0,14.0,2.0472500324249268
3.0,14.0,1.8803279399871826
4.0,14.0,1.9806699752807617
5.0,14.0,2.1722471714019775
6.0,14.0,2.313459873199463
7.0,14.0,2.4673349857330322
8.0,14.0,2.6800031661987305
9.0,14.0,2.733150005340576
10.0,14.0,3.0164730548858643
11.0,14.0,3.3860890865325928
12.0,14.0,3.4865810871124268
1.0,15.0,2.6749141216278076
2.0,15.0,2.0074548721313477
3.0,15.0,1.8704047203063965
4.0,15.0,2.059098958969116
5.0,15.0,2.140826940536499
6.0,15.0,2.28381609916687
7.0,15.0,2.5458197593688965
8.0,15.0,2.565905809402466
9.0,15.0,2.7468111515045166
10.0,15.0,3.0632309913635254
11.0,15.0,3.266970157623291
12.0,15.0,3.4658408164978027
1.0,16.0,2.6260390281677246
2.0,16.0,2.012279748916626
3.0,16.0,1.8856871128082275
4.0,16.0,1.9572327136993408
5.0,16.0,2.1511988639831543
6.0,16.0,2.2782530784606934
7.0,16.0,2.450446128845215
8.0,16.0,2.5412871837615967
9.0,16.0,2.763324022293091
10.0,16.0,3.037825107574463
11.0,16.0,3.1995151042938232
12.0,16.0,3.4218921661376953
1.0,18.0,2.690742015838623
2.0,18.0,2.087692975997925
3.0,18.0,1.9164338111877441
4.0,18.0,1.9666669368743896
5.0,18.0,2.130903959274292
6.0,18.0,2.2363719940185547
7.0,18.0,2.4214529991149902
8.0,18.0,2.5710248947143555
9.0,18.0,2.825822114944458
10.0,18.0,3.1477420330047607
11.0,18.0,3.314946174621582
12.0,18.0,3.5840909481048584
1.0,20.0,2.8208420276641846
2.0,20.0,2.0405242443084717
3.0,20.0,1.916644811630249
4.0,20.0,1.9918878078460693
5.0,20.0,2.1500439643859863
6.0,20.0,2.2982218265533447
7.0,20.0,2.4107680320739746
8.0,20.0,2.626664876937866
9.0,20.0,2.9561209678649902
10.0,20.0,3.054415225982666
11.0,20.0,3.28234601020813
12.0,20.0,3.4793100357055664
1.0,21.0,2.707900047302246
2.0,21.0,2.032528877258301
3.0,21.0,1.914668083190918
4.0,21.0,1.9897830486297607
5.0,21.0,2.1523869037628174
6.0,21.0,2.302548885345459
7.0,21.0,2.3772459030151367
8.0,21.0,2.626539945602417
9.0,21.0,2.954852819442749
10.0,21.0,3.1649038791656494
11.0,21.0,3.2611210346221924
12.0,21.0,3.4954476356506348
1.0,23.0,2.7664120197296143
2.0,23.0,2.050434112548828
3.0,23.0,1.9288158416748047
4.0,23.0,2.0152649879455566
5.0,23.0,2.143162250518799
6.0,23.0,2.379692792892456
7.0,23.0,2.406959056854248
8.0,23.0,2.60837984085083
9.0,23.0,2.902829647064209
10.0,23.0,3.087791919708252
11.0,23.0,3.2897000312805176
12.0,23.0,3.507794141769409
1.0,26.0,2.8275320529937744
2.0,26.0,2.0358598232269287
3.0,26.0,1.9998977184295654
4.0,26.0,2.006614923477173
5.0,26.0,2.152667760848999
6.0,26.0,2.3315939903259277
7.0,26.0,2.4913878440856934
8.0,26.0,2.657089948654175
9.0,26.0,2.7799909114837646
10.0,26.0,3.14308500289917
11.0,26.0,3.3316922187805176
12.0,26.0,3.4756479263305664
1.0,28.0,2.8240561485290527
2.0,28.0,2.0548877716064453
3.0,28.0,1.9377737045288086
4.0,28.0,1.9843339920043945
5.0,28.0,2.1222891807556152
6.0,28.0,2.354707956314087
7.0,28.0,2.479599714279175
8.0,28.0,2.647087812423706
9.0,28.0,2.8449628353118896
10.0,28.0,3.127441167831421
11.0,28.0,3.439452886581421
12.0,28.0,3.4889450073242188
1.0,30.0,2.897502899169922
2.0,30.0,2.0681591033935547
3.0,30.0,1.9286000728607178
4.0,30.0,2.019007921218872
5.0,30.0,2.1759519577026367
6.0,30.0,2.2880513668060303
7.0,30.0,2.4555180072784424
8.0,30.0,2.6382339000701904
9.0,30.0,2.906256914138794
10.0,30.0,3.136396884918213
11.0,30.0,3.9827959537506104
12.0,30.0,5.5631749629974365
1.0,33.0,3.502271890640259
2.0,33.0,2.136869192123413
3.0,33.0,1.9750831127166748
4.0,33.0,2.0608131885528564
5.0,33.0,2.210386276245117
6.0,33.0,2.2966620922088623
7.0,33.0,2.4837801456451416
8.0,33.0,2.8694510459899902
9.0,33.0,3.085484027862549
10.0,33.0,3.4228219985961914
11.0,33.0,3.4392220973968506
12.0,33.0,3.7323970794677734
1.0,36.0,2.98180890083313
2.0,36.0,2.1951870918273926
3.0,36.0,1.9786112308502197
4.0,36.0,2.1928350925445557
5.0,36.0,2.226407289505005
6.0,36.0,2.470588207244873
7.0,36.0,2.649679183959961
8.0,36.0,2.8566107749938965
9.0,36.0,2.900395154953003
10.0,36.0,3.022865056991577
11.0,36.0,3.416594982147217
12.0,36.0,3.5202128887176514
1.0,40.0,3.0238778591156006
2.0,40.0,2.1101598739624023
3.0,40.0,1.9572019577026367
4.0,40.0,2.0627822875976562
5.0,40.0,2.260072946548462
6.0,40.0,2.316956043243408
7.0,40.0,2.533766746520996
8.0,40.0,2.9050841331481934
9.0,40.0,2.8931829929351807
10.0,40.0,3.226510763168335
11.0,40.0,3.500433921813965
12.0,40.0,3.6123740673065186
1.0,43.0,3.0218498706817627
2.0,43.0,2.2157950401306152
3.0,43.0,2.037839889526367
4.0,43.0,2.106674909591675
5.0,43.0,2.2642486095428467
6.0,43.0,2.4480888843536377
7.0,43.0,2.5887129306793213
8.0,43.0,2.8120741844177246
9.0,43.0,3.0413618087768555
10.0,43.0,3.150035858154297
11.0,43.0,3.6124610900878906
12.0,43.0,3.659837245941162
1.0,47.0,3.148270845413208
2.0,47.0,2.151249885559082
3.0,47.0,2.002427816390991
4.0,47.0,2.084414005279541
5.0,47.0,2.2213430404663086
6.0,47.0,2.384902000427246
7.0,47.0,2.5219380855560303
8.0,47.0,2.740385055541992
9.0,47.0,3.1285712718963623
10.0,47.0,3.34102201461792
11.0,47.0,3.41339111328125
12.0,47.0,3.625951051712036
1.0,51.0,3.0925028324127197
2.0,51.0,2.19631290435791
3.0,51.0,2.0481491088867188
4.0,51.0,2.110192060470581
5.0,51.0,2.345329999923706
6.0,51.0,2.362673044204712
7.0,51.0,2.5393600463867188
8.0,51.0,2.7718629837036133
9.0,51.0,3.120171070098877
10.0,51.0,3.258608102798462
11.0,51.0,3.5745720863342285
12.0,51.0,3.7528510093688965
1.0,56.0,3.074881076812744
2.0,56.0,2.1503350734710693
3.0,56.0,2.0208077430725098
4.0,56.0,2.0564308166503906
5.0,56.0,2.193308115005493
6.0,56.0,2.463860034942627
7.0,56.0,2.638071060180664
8.0,56.0,2.7705671787261963
9.0,56.0,2.9804019927978516
10.0,56.0,3.1837058067321777
11.0,56.0,3.409780979156494
12.0,56.0,3.6296398639678955
1.0,61.0,3.182892084121704
2.0,61.0,2.1196529865264893
3.0,61.0,1.982532024383545
4.0,61.0,2.0625290870666504
5.0,61.0,2.278014898300171
6.0,61.0,2.434338092803955
7.0,61.0,2.6805460453033447
8.0,61.0,2.8085880279541016
9.0,61.0,3.0533299446105957
10.0,61.0,3.560044050216675
11.0,61.0,3.562737226486206
12.0,61.0,3.8009588718414307
1.0,67.0,3.127254009246826
2.0,67.0,2.225874185562134
3.0,67.0,2.034538984298706
4.0,67.0,2.15309476852417
5.0,67.0,2.4163029193878174
6.0,67.0,2.6112823486328125
7.0,67.0,2.7626519203186035
8.0,67.0,2.9008021354675293
9.0,67.0,3.1351747512817383
10.0,67.0,3.283034086227417
11.0,67.0,3.5062291622161865
12.0,67.0,3.7502269744873047
1.0,73.0,3.12485408782959
2.0,73.0,2.182072877883911
3.0,73.0,2.023838996887207
4.0,73.0,2.157932996749878
5.0,73.0,2.4425573348999023
6.0,73.0,2.6764049530029297
7.0,73.0,2.7496509552001953
8.0,73.0,3.0757129192352295
9.0,73.0,3.192570209503174
10.0,73.0,3.5109691619873047
11.0,73.0,3.549880027770996
12.0,73.0,3.8553590774536133
1.0,79.0,3.139755964279175
2.0,79.0,2.283846855163574
3.0,79.0,2.1015641689300537
4.0,79.0,2.166010856628418
5.0,79.0,2.5808513164520264
6.0,79.0,2.559739112854004
7.0,79.0,2.8420329093933105
8.0,79.0,3.1371357440948486
9.0,79.0,3.3129119873046875
10.0,79.0,3.493497133255005
11.0,79.0,3.768378257751465
12.0,79.0,3.825956106185913
1.0,86.0,3.258162021636963
2.0,86.0,2.270339012145996
3.0,86.0,2.141282081604004
4.0,86.0,2.4620988368988037
5.0,86.0,2.4247710704803467
6.0,86.0,2.540961980819702
7.0,86.0,2.766411066055298
8.0,86.0,2.9841887950897217
9.0,86.0,3.3267910480499268
10.0,86.0,3.3914568424224854
11.0,86.0,3.967935800552368
12.0,86.0,4.821379899978638
1.0,94.0,3.424596071243286
2.0,94.0,29.531437158584595
3.0,94.0,2.1612510681152344
4.0,94.0,1.9090170860290527
5.0,94.0,2.230919122695923
6.0,94.0,2.4483261108398438
7.0,94.0,944.6239187717438
8.0,94.0,2.8226211071014404
9.0,94.0,2.706407070159912
10.0,94.0,2.9288408756256104
11.0,94.0,3.056623935699463
12.0,94.0,3.1816437244415283
1.0,102.0,2.921360731124878
2.0,102.0,2.0142269134521484
3.0,102.0,1.9619252681732178
4.0,102.0,1.8535280227661133
5.0,102.0,2.4800751209259033
6.0,102.0,2.3212077617645264
7.0,102.0,2.557371139526367
8.0,102.0,2.523329973220825
9.0,102.0,2.704835891723633
10.0,102.0,2.885922908782959
11.0,102.0,2.9833030700683594
12.0,102.0,3.2959020137786865
1.0,112.0,2.76228404045105
2.0,112.0,1.943810224533081
3.0,112.0,1.7052459716796875
4.0,112.0,1.7141501903533936
5.0,112.0,1.9246079921722412
6.0,112.0,2.1676688194274902
7.0,112.0,2.382572650909424
8.0,112.0,2.5451948642730713
9.0,112.0,2.6714041233062744
10.0,112.0,1037.7907741069794
11.0,112.0,2.9915597438812256
12.0,112.0,3.3143301010131836
1.0,122.0,2.8022351264953613
2.0,122.0,1.9313220977783203
3.0,122.0,1.843930959701538
4.0,122.0,1.885490894317627
5.0,122.0,1.9720330238342285
6.0,122.0,2.2203919887542725
7.0,122.0,2.444135904312134
8.0,122.0,2.5434961318969727
9.0,122.0,2.8246631622314453
10.0,122.0,2.794961929321289
11.0,122.0,3.20743989944458
12.0,122.0,3.1973929405212402
1.0,133.0,3.021751880645752
2.0,133.0,2.02984619140625
3.0,133.0,1.8917489051818848
4.0,133.0,1.7442398071289062
5.0,133.0,967.2148559093475
6.0,133.0,2.3019049167633057
7.0,133.0,2.4001410007476807
8.0,133.0,2.83801007270813
9.0,133.0,3.2611007690429688
10.0,133.0,3.1271591186523438
11.0,133.0,3.1094319820404053
12.0,133.0,3.247603178024292
1.0,145.0,2.740565061569214
2.0,145.0,1.9370079040527344
3.0,145.0,1.8497989177703857
4.0,145.0,1.9198369979858398
5.0,145.0,2.232177734375
6.0,145.0,2.1831161975860596
7.0,145.0,2.4026050567626953
8.0,145.0,2.615518093109131
9.0,145.0,2.697132110595703
10.0,145.0,2.942718029022217
11.0,145.0,3.322679042816162
12.0,145.0,3.4135279655456543
1.0,158.0,2.775928020477295
2.0,158.0,1.9768760204315186
3.0,158.0,1.7449390888214111
4.0,158.0,1.8612899780273438
5.0,158.0,2.0242648124694824
6.0,158.0,2.182126998901367
7.0,158.0,2.293588876724243
8.0,158.0,2.5437121391296387
9.0,158.0,2.6379950046539307
10.0,158.0,2.9477927684783936
11.0,158.0,3.33284592628479
12.0,158.0,928.4147996902466
1.0,172.0,2.7287051677703857
2.0,172.0,1.824638843536377
3.0,172.0,1.7908568382263184
4.0,172.0,1.7814831733703613
5.0,172.0,2.1198909282684326
6.0,172.0,2.4208202362060547
7.0,172.0,2.5424649715423584
8.0,172.0,2.5883948802948
9.0,172.0,2.781548023223877
10.0,172.0,3.0003771781921387
11.0,172.0,3.3066139221191406
12.0,172.0,3.2925961017608643
1.0,187.0,2.7991442680358887
2.0,187.0,1.878720998764038
3.0,187.0,1.8204329013824463
4.0,187.0,1.846144199371338
5.0,187.0,2.1696038246154785
6.0,187.0,2.1877589225769043
7.0,187.0,2.57804799079895
8.0,187.0,2.6407830715179443
9.0,187.0,2.7200400829315186
10.0,187.0,3.4053051471710205
11.0,187.0,3.4453060626983643
12.0,187.0,3.5728759765625
1.0,204.0,2.833489179611206
2.0,204.0,1.9526889324188232
3.0,204.0,1.7484056949615479
4.0,204.0,2.141055107116699
5.0,204.0,2.253024101257324
6.0,204.0,2.364820957183838
7.0,204.0,2.432992935180664
8.0,204.0,2.8372039794921875
9.0,204.0,4.430609226226807
10.0,204.0,3.780761957168579
11.0,204.0,3.5129878520965576
12.0,204.0,3.761439085006714
1.0,222.0,3.185878038406372
2.0,222.0,2.8516952991485596
3.0,222.0,2.4961891174316406
4.0,222.0,2.4986722469329834
5.0,222.0,2.612086772918701
6.0,222.0,2.800330877304077
7.0,222.0,3.035017967224121
8.0,222.0,3.1935482025146484
9.0,222.0,3.5136029720306396
10.0,222.0,3.801236867904663
11.0,222.0,4.262391090393066
12.0,222.0,4.080007791519165
1.0,242.0,3.4612388610839844
2.0,242.0,2.3414499759674072
3.0,242.0,2.244525671005249
4.0,242.0,2.3498129844665527
5.0,242.0,2.6133649349212646
6.0,242.0,2.877979278564453
7.0,242.0,3.0459790229797363
8.0,242.0,3.2421669960021973
9.0,242.0,3.4220211505889893
10.0,242.0,3.9032211303710938
11.0,242.0,6.497407913208008
12.0,242.0,6.072036981582642
1.0,264.0,5.276869773864746
2.0,264.0,3.3846421241760254
3.0,264.0,3.4239630699157715
4.0,264.0,5.140485763549805
5.0,264.0,5.3530189990997314
6.0,264.0,23.986238956451416
7.0,264.0,8.122009992599487
8.0,264.0,7.2438459396362305
9.0,264.0,7.617839813232422
10.0,264.0,62.958035945892334
11.0,264.0,36.22118306159973
12.0,264.0,8.308560132980347
1.0,288.0,7.002302885055542
2.0,288.0,4.4098780155181885
3.0,288.0,5.116638898849487
4.0,288.0,4.487162113189697
5.0,288.0,4.211470127105713
6.0,288.0,4.7574498653411865
7.0,288.0,5.32711386680603
8.0,288.0,12.082590818405151
9.0,288.0,12.903463125228882
10.0,288.0,50.84523391723633
11.0,288.0,6.973087310791016
12.0,288.0,6.262281894683838
1.0,314.0,4.963112115859985
2.0,314.0,3.555061101913452
3.0,314.0,3.3315298557281494
4.0,314.0,3.910277843475342
5.0,314.0,4.529453992843628
6.0,314.0,4.5640709400177
7.0,314.0,4.5470640659332275
8.0,314.0,4.5180888175964355
9.0,314.0,5.062438726425171
10.0,314.0,5.184810161590576
11.0,314.0,5.398793935775757
12.0,314.0,5.921699285507202
1.0,342.0,5.226832866668701
2.0,342.0,5.844821929931641
3.0,342.0,5.914886951446533
4.0,342.0,7.313479900360107
5.0,342.0,20.07921266555786
6.0,342.0,71.89157199859619
7.0,342.0,14.926618099212646
8.0,342.0,8.34365725517273
9.0,342.0,8.200249910354614
10.0,342.0,7.815096616744995
11.0,342.0,9.064726114273071
12.0,342.0,12.407825231552124
1.0,373.0,6.7695229053497314
2.0,373.0,4.695075035095215
3.0,373.0,7.805021286010742
4.0,373.0,6.718997955322266
5.0,373.0,6.11207127571106
6.0,373.0,4.6633501052856445
7.0,373.0,8.54292106628418
8.0,373.0,10.363937139511108
9.0,373.0,10.812418222427368
10.0,373.0,12.008429050445557
11.0,373.0,11.956493854522705
12.0,373.0,12.816450834274292
1.0,406.0,5.016751050949097
2.0,406.0,2.984734058380127
3.0,406.0,2.8332560062408447
4.0,406.0,3.3356640338897705
5.0,406.0,3.469525098800659
6.0,406.0,3.828425884246826
7.0,406.0,4.03851580619812
8.0,406.0,4.29487419128418
9.0,406.0,4.620532035827637
10.0,406.0,5.052856922149658
11.0,406.0,5.432981967926025
12.0,406.0,5.396162986755371
1.0,442.0,4.550926208496094
2.0,442.0,3.0551421642303467
3.0,442.0,2.7892329692840576
4.0,442.0,3.3586699962615967
5.0,442.0,3.779279947280884
6.0,442.0,3.8101770877838135
7.0,442.0,4.233031988143921
8.0,442.0,10.437510013580322
9.0,442.0,11.492820978164673
10.0,442.0,8.272886037826538
11.0,442.0,10.160101175308228
12.0,442.0,12.744876146316528
1.0,482.0,5.5895771980285645
2.0,482.0,6.460974216461182
3.0,482.0,4.5294389724731445
4.0,482.0,3.9163761138916016
5.0,482.0,7.79700779914856
6.0,482.0,6.621546983718872
7.0,482.0,6.076972961425781
8.0,482.0,7.1250998973846436
9.0,482.0,7.956085920333862
10.0,482.0,10.309157848358154
11.0,482.0,7.656216144561768
12.0,482.0,7.776692152023315
1.0,525.0,5.119279146194458
2.0,525.0,5.337690114974976
3.0,525.0,4.583973169326782
4.0,525.0,4.90581202507019
5.0,525.0,4.847616910934448
6.0,525.0,5.358799934387207
7.0,525.0,5.718873023986816
8.0,525.0,6.093277931213379
9.0,525.0,14.163344860076904
10.0,525.0,11.34925389289856
11.0,525.0,9.659392833709717
12.0,525.0,10.089339256286621
1.0,573.0,5.6358888149261475
2.0,573.0,3.5590641498565674
3.0,573.0,5.356471061706543
4.0,573.0,4.081725835800171
5.0,573.0,5.155386209487915
6.0,573.0,5.733699083328247
7.0,573.0,8.31891918182373
8.0,573.0,7.680628061294556
9.0,573.0,6.988204002380371
10.0,573.0,5.811776876449585
11.0,573.0,7.343462705612183
12.0,573.0,10.56635308265686
1.0,624.0,6.229363918304443
2.0,624.0,4.006485939025879
3.0,624.0,2.9451167583465576
4.0,624.0,3.873779058456421
5.0,624.0,6.336540937423706
6.0,624.0,4.760126113891602
7.0,624.0,7.963791847229004
8.0,624.0,8.263505935668945
9.0,624.0,13.602781772613525
10.0,624.0,9.378758192062378
11.0,624.0,52.41857719421387
12.0,624.0,16.38265585899353
1.0,680.0,5.872173070907593
2.0,680.0,4.672494173049927
3.0,680.0,4.58535099029541
4.0,680.0,4.583236217498779
5.0,680.0,5.861534833908081
6.0,680.0,6.260799884796143
7.0,680.0,5.490638017654419
8.0,680.0,5.939091205596924
9.0,680.0,6.114550590515137
10.0,680.0,22.238465070724487
11.0,680.0,7.584125280380249
12.0,680.0,7.578683137893677
1.0,741.0,7.456851005554199
2.0,741.0,5.0628180503845215
3.0,741.0,8.536765813827515
4.0,741.0,6.360631942749023
5.0,741.0,7.903589963912964
6.0,741.0,9.301180839538574
7.0,741.0,6.272039890289307
8.0,741.0,8.440218210220337
9.0,741.0,8.014544010162354
10.0,741.0,7.291485786437988
11.0,741.0,7.396368980407715
12.0,741.0,8.430891036987305
1.0,807.0,9.231275081634521
2.0,807.0,4.810249090194702
3.0,807.0,3.853097915649414
4.0,807.0,6.311923027038574
5.0,807.0,4.714729070663452
6.0,807.0,4.888287782669067
7.0,807.0,4.847923994064331
8.0,807.0,5.8647849559783936
9.0,807.0,5.123082876205444
10.0,807.0,4.4509968757629395
11.0,807.0,4.839701175689697
12.0,807.0,5.037035703659058
1.0,880.0,7.146987199783325
2.0,880.0,4.536980152130127
3.0,880.0,3.5201220512390137
4.0,880.0,4.582281112670898
5.0,880.0,3.868411064147949
6.0,880.0,4.4611639976501465
7.0,880.0,4.959696292877197
8.0,880.0,4.406481027603149
9.0,880.0,4.521182060241699
10.0,880.0,4.377617120742798
11.0,880.0,4.4675328731536865
12.0,880.0,5.448762893676758
1.0,958.0,5.204578161239624
2.0,958.0,3.3076438903808594
3.0,958.0,3.4189469814300537
4.0,958.0,3.8693180084228516
5.0,958.0,4.140368938446045
6.0,958.0,5.292149066925049
7.0,958.0,9.520484209060669
8.0,958.0,10.576321125030518
9.0,958.0,7.241615056991577
10.0,958.0,8.371742963790894
11.0,958.0,9.836462020874023
12.0,958.0,8.942382097244263
1.0,1044.0,13.259021043777466
2.0,1044.0,9.681642055511475
3.0,1044.0,7.687492847442627
4.0,1044.0,4.918123960494995
5.0,1044.0,4.702866077423096
6.0,1044.0,5.037871837615967
7.0,1044.0,4.488944053649902
8.0,1044.0,4.64558482170105
9.0,1044.0,4.857131004333496
10.0,1044.0,5.718754053115845
11.0,1044.0,5.030839204788208
12.0,1044.0,5.209109783172607
1.0,1138.0,6.141123056411743
2.0,1138.0,5.241482973098755
3.0,1138.0,3.9289722442626953
4.0,1138.0,4.869400978088379
5.0,1138.0,4.648564100265503
6.0,1138.0,5.029605150222778
7.0,1138.0,5.198684215545654
8.0,1138.0,5.365856885910034
9.0,1138.0,4.7858240604400635
10.0,1138.0,4.6137096881866455
11.0,1138.0,5.414926052093506
12.0,1138.0,4.784236907958984
1.0,1240.0,6.010778903961182
2.0,1240.0,3.6741929054260254
3.0,1240.0,3.8206100463867188
4.0,1240.0,4.218246221542358
5.0,1240.0,4.656324148178101
6.0,1240.0,4.398104906082153
7.0,1240.0,4.2258689403533936
8.0,1240.0,4.407397747039795
9.0,1240.0,4.415218114852905
10.0,1240.0,4.695183992385864
11.0,1240.0,4.650777101516724
12.0,1240.0,4.722813129425049
1.0,1351.0,5.480058670043945
2.0,1351.0,3.9822189807891846
3.0,1351.0,3.898780345916748
4.0,1351.0,4.525983095169067
5.0,1351.0,4.53020715713501
6.0,1351.0,4.1765758991241455
7.0,1351.0,4.1724958419799805
8.0,1351.0,3.9588029384613037
9.0,1351.0,4.378803968429565
10.0,1351.0,3.993000030517578
11.0,1351.0,4.057452917098999
12.0,1351.0,3.911569118499756
1.0,1472.0,5.227910995483398
2.0,1472.0,3.5699095726013184
3.0,1472.0,3.839226007461548
4.0,1472.0,3.9142351150512695
5.0,1472.0,4.021755933761597
6.0,1472.0,4.055852890014648
7.0,1472.0,4.0549540519714355
8.0,1472.0,4.302870988845825
9.0,1472.0,4.681394338607788
